@relation testData

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
0.10960757780784844,0.0,0.013941000309800007,3.098000068844446E-4,141.0,FOREIGN_KEY
1.388003536838642E-4,0.0,9.294000206533338E-4,1.7211111493580257E-4,111.0,FOREIGN_KEY
1.0,0.0,1.3768889194864205E-4,0.001686688926370865,92.0,FOREIGN_KEY
1.8506713824515227E-4,0.0,0.0012392000275377785,1.7211111493580257E-4,111.0,FOREIGN_KEY
0.05725516757899286,0.0,2.991222333138274,6.884444597432102E-5,136.0,FOREIGN_KEY
0.0,0.0,0.0,3.442222298716051E-5,63.0,FOREIGN_KEY
2.0563015360572473E-5,0.0,1.3768889194864205E-4,5.163333448074077E-4,111.0,FOREIGN_KEY
0.08329907217648837,0.0,43.85391208564249,3.442222298716051E-5,73.0,FOREIGN_KEY
1.0,0.0,6.884444597432102E-5,0.0021341778252039517,76.0,FOREIGN_KEY
7.03661393063868E-4,0.0,0.3704519637878214,6.884444597432102E-5,73.0,FOREIGN_KEY
0.010087554508089399,63.0,0.15249044783312107,6.884444597432102E-5,98.0,FOREIGN_KEY
0.0025575447570332483,66.0,6.884444597432102E-5,0.0011015111355891364,141.0,FOREIGN_KEY
2.0563015360572473E-5,0.0,1.3768889194864205E-4,5.163333448074077E-4,111.0,FOREIGN_KEY
0.5570568453455551,0.0,29.102715913393688,3.442222298716051E-5,136.0,FOREIGN_KEY
0.9181585677749361,2.0,0.024715156104781248,1.3768889194864205E-4,141.0,FOREIGN_KEY
0.24597701149425288,0.0,0.0036831778596261746,1.7211111493580257E-4,102.0,FOREIGN_KEY
0.9966293298517721,0.0,524.688857526419,3.442222298716051E-5,73.0,FOREIGN_KEY
0.0013816626372323713,0.0,0.04774362328319163,6.884444597432102E-5,97.0,FOREIGN_KEY
0.001168927465433768,0.0,0.004612577880279509,6.884444597432102E-5,173.0,FOREIGN_KEY
0.01839080459770115,56.0,2.753777838972841E-4,8.605555746790128E-4,102.0,FOREIGN_KEY
1.0,0.0,0.25465560565901346,6.884444597432102E-5,101.0,FOREIGN_KEY
0.6006399750253648,0.0,0.2649134281091873,3.442222298716051E-5,82.0,FOREIGN_KEY
0.9284162201100195,0.0,32.34174382981653,6.884444597432102E-5,67.0,FOREIGN_KEY
0.9521857923497268,0.0,0.023992289422050877,1.7211111493580257E-4,147.0,FOREIGN_KEY
0.998061134794375,0.0,21.8479914632887,3.442222298716051E-5,63.0,FOREIGN_KEY
1.0,71.0,9.743141372069807,6.884444597432102E-5,73.0,FOREIGN_KEY
0.11888104970910726,0.0,12.824687618326392,3.442222298716051E-5,100.0,FOREIGN_KEY
0.9565217391304348,73.0,0.025747822794396063,1.7211111493580257E-4,141.0,FOREIGN_KEY
65702.0,0.0,2.26160889470242,3.442222298716051E-5,113.0,FOREIGN_KEY
0.06744154962883757,0.0,0.45158514336855876,6.884444597432102E-5,111.0,FOREIGN_KEY
1.0,0.0,1.0326666896148153E-4,0.0018588000413066676,72.0,FOREIGN_KEY
0.00685776562275092,0.0,0.045919245464872124,3.442222298716051E-5,111.0,FOREIGN_KEY
0.2965946471291866,0.0,0.5462462565832501,3.442222298716051E-5,102.0,FOREIGN_KEY
0.048232264106766565,0.0,0.021272933806065195,1.0326666896148153E-4,82.0,FOREIGN_KEY
1.0,0.0,2.0653333792296306E-4,0.001549000034422223,88.0,FOREIGN_KEY
0.999430984981255,0.0,42.3219854738219,3.442222298716051E-5,79.0,FOREIGN_KEY
0.001079558306430055,0.0,0.007228666827303707,3.442222298716051E-5,111.0,FOREIGN_KEY
1.0,0.0,3.098000068844446E-4,0.0011015111355891364,100.0,FOREIGN_KEY
1.0,0.0,1.7211111493580257E-4,0.001273622250524939,95.0,FOREIGN_KEY
0.05240450883291648,69.0,2.7378059275067983,6.884444597432102E-5,136.0,FOREIGN_KEY
0.02083847664634501,0.0,0.45616329902585107,3.442222298716051E-5,63.0,FOREIGN_KEY
