@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
0.999989910404391,0,99111,3,160,FOREIGN_KEY
0.11888104970910726,0,372570,1,96,FOREIGN_KEY
3942532.0,0,3942532,1,104,FOREIGN_KEY
7.851005364853665E-5,59,9,21,192,FOREIGN_KEY
8.225206144228989E-4,0,160,2,110,FOREIGN_KEY
6.129599712569317E-4,0,1921,1,96,FOREIGN_KEY
1.0,0,2,37,64,FOREIGN_KEY
0.07059362898269869,0,86844,2,70,FOREIGN_KEY
5.140753840143118E-5,0,10,10,110,FOREIGN_KEY
1.0,0,2,62,81,FOREIGN_KEY
0.998061134794375,0,634706,2,75,FOREIGN_KEY
0.2459016393442623,0,180,8,149,FOREIGN_KEY
0.07366855907001893,0,545,3,89,FOREIGN_KEY
5.0447978045039956E-5,66,5,13,160,FOREIGN_KEY
0.9966293298517721,0,15242736,2,87,FOREIGN_KEY
0.006592731786639538,0,10006,2,140,FOREIGN_KEY
1.0,0,3,55,81,FOREIGN_KEY
5.140753840143118E-6,0,1,17,110,FOREIGN_KEY
0.18238993710691823,0,29,22,146,FOREIGN_KEY
0.07280335588410684,0,14162,1,110,FOREIGN_KEY
0.026396032127889962,0,26498,2,109,FOREIGN_KEY
0.008389715832205684,0,31,12,151,FOREIGN_KEY
0.0027017027570109776,0,51525,1,206,FOREIGN_KEY
0.9999980233664442,0,1517729,1,140,FOREIGN_KEY
0.999430984981255,0,1229496,2,70,FOREIGN_KEY
0.9181585677749361,2,718,4,128,FOREIGN_KEY
0.035121630235857786,0,6832,3,110,FOREIGN_KEY
0.023832687773634297,0,74691,1,96,FOREIGN_KEY
0.18395379692499805,0,2357,2,75,FOREIGN_KEY
0.5712765519935843,2,111127,2,110,FOREIGN_KEY
2.9385952197094086E-4,0,446,2,140,FOREIGN_KEY
0.06772551832496498,50,29742,2,81,FOREIGN_KEY
1.0,0,2,60,76,FOREIGN_KEY
0.01809111402651557,0,18161,1,109,FOREIGN_KEY
0.06863087891475231,0,68896,1,109,FOREIGN_KEY
0.938135204463261,0,14348110,1,87,FOREIGN_KEY
1.0,0,2,69,78,FOREIGN_KEY
1.8690191387559809E-4,0,10,11,100,FOREIGN_KEY
0.0059144240415230954,0,678,2,192,FOREIGN_KEY
0.029708019890348082,0,233,4,207,FOREIGN_KEY
1.0,92,1003863,1,109,FOREIGN_KEY
1.0,0,114635,1,192,FOREIGN_KEY
1.0,0,6,44,82,FOREIGN_KEY
1.0281507680286237E-5,0,2,16,110,FOREIGN_KEY
0.10907393400152332,0,165545,2,140,FOREIGN_KEY
4232192.0,0,4232192,1,104,FOREIGN_KEY
