@relation initialDataset

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
0.02596052950197756,0.0,10.676348547717842,0.004149377593360996,10.0,FOREIGN_KEY
1.0,0.0,1174.4730290456432,0.004149377593360996,2.0,FOREIGN_KEY
0.04190340909090909,0.0,9.302904564315353,0.004149377593360996,8.0,FOREIGN_KEY
7.03661393063868E-4,0.0,44.655601659751035,0.004149377593360996,12.0,FOREIGN_KEY
0.1262359819085739,0.0,644.3775933609959,0.004149377593360996,10.0,FOREIGN_KEY
7.153331664222612E-5,0.0,0.3651452282157676,0.004149377593360996,10.0,FOREIGN_KEY
0.08805882874455977,0.0,366.8008298755187,0.004149377593360996,16.0,FOREIGN_KEY
1.8506713824515227E-4,0.0,0.14937759336099585,0.004149377593360996,37.0,FOREIGN_KEY
0.02380394911418091,0.0,1.2655601659751037,0.004149377593360996,10.0,FOREIGN_KEY
5.140753840143118E-6,0.0,0.004149377593360996,0.004149377593360996,37.0,FOREIGN_KEY
1.0,0.0,4199.182572614108,0.004149377593360996,4.0,FOREIGN_KEY
0.0013271713167457885,0.0,3.5020746887966805,0.004149377593360996,13.0,FOREIGN_KEY
2.621240034187927E-4,0.0,16.634854771784234,0.004149377593360996,12.0,FOREIGN_KEY
0.0027017027570109776,0.0,213.7966804979253,0.004149377593360996,1.0,FOREIGN_KEY
0.9979151219086666,0.0,474.6721991701245,0.004149377593360996,14.0,FOREIGN_KEY
0.15266126951586023,0.0,635.896265560166,0.004149377593360996,16.0,FOREIGN_KEY
1.0,0.0,1174.4730290456432,0.004149377593360996,2.0,FOREIGN_KEY
1.0,0.0,0.008298755186721992,0.004149377593360996,1.0,FOREIGN_KEY
0.18395379692499805,0.0,9.780082987551868,0.004149377593360996,10.0,FOREIGN_KEY
0.001168927465433768,0.0,0.5560165975103735,0.004149377593360996,14.0,FOREIGN_KEY
0.3766016503903645,0.0,1581.4190871369294,0.004149377593360996,4.0,FOREIGN_KEY
0.0421075587734985,0.0,20.029045643153527,0.004149377593360996,14.0,FOREIGN_KEY
0.938135204463261,0.0,59535.72614107884,0.004149377593360996,12.0,FOREIGN_KEY
0.5190592461054161,0.0,213.46473029045643,0.004149377593360996,10.0,FOREIGN_KEY
0.10325014469105843,0.0,430.07883817427387,0.004149377593360996,16.0,FOREIGN_KEY
0.18920368148517389,0.0,499.26141078838174,0.004149377593360996,13.0,FOREIGN_KEY
0.010087554508089399,0.0,18.38174273858921,0.004149377593360996,8.0,FOREIGN_KEY
0.008023924642902433,0.0,40.95850622406639,0.004149377593360996,10.0,FOREIGN_KEY
4.626678456128807E-5,0.0,0.03734439834024896,0.004149377593360996,37.0,FOREIGN_KEY
3942532.0,0.0,16359.053941908714,0.004149377593360996,13.0,FOREIGN_KEY
1400364.0,0.0,5810.639004149378,0.004149377593360996,13.0,FOREIGN_KEY
0.3474118571584143,0.0,2448.9004149377593,0.004149377593360996,3.0,FOREIGN_KEY
0.0010293540367252584,0.0,0.4896265560165975,0.004149377593360996,14.0,FOREIGN_KEY
0.002110845802664308,0.0,8.792531120331951,0.004149377593360996,16.0,FOREIGN_KEY
0.33967553827751196,0.0,75.41078838174273,0.004149377593360996,8.0,FOREIGN_KEY
0.24077109185982987,0.0,12.800829875518673,0.004149377593360996,10.0,FOREIGN_KEY
0.08626141815488593,0.0,227.62240663900414,0.004149377593360996,13.0,FOREIGN_KEY
0.003456473211344295,0.0,21.767634854771785,0.004149377593360996,16.0,FOREIGN_KEY
0.9181585677749361,0.0,2.979253112033195,0.004149377593360996,2.0,FOREIGN_KEY
0.08574649041910032,0.0,156.24896265560167,0.004149377593360996,8.0,FOREIGN_KEY
0.002503941340714913,0.0,158.9045643153527,0.004149377593360996,12.0,FOREIGN_KEY
1.5422261520429355E-5,0.0,0.012448132780082987,0.004149377593360996,37.0,FOREIGN_KEY
1.0,0.0,7048.983402489626,0.004149377593360996,3.0,FOREIGN_KEY
3.4957126112973206E-4,0.0,0.2821576763485477,0.004149377593360996,37.0,FOREIGN_KEY
0.7096714044376741,0.0,4469.2572614107885,0.004149377593360996,16.0,FOREIGN_KEY
0.41416483313113034,0.0,334.29460580912865,0.004149377593360996,37.0,FOREIGN_KEY
4.369640764121651E-4,0.0,0.35269709543568467,0.004149377593360996,37.0,FOREIGN_KEY
1.0,0.0,0.02074688796680498,0.004149377593360996,1.0,FOREIGN_KEY
0.021618668539764303,0.0,1.1493775933609958,0.004149377593360996,10.0,FOREIGN_KEY
0.0026925738550235227,0.0,170.87551867219918,0.004149377593360996,12.0,FOREIGN_KEY
4.3616696471409256E-5,0.0,0.02074688796680498,0.004149377593360996,14.0,FOREIGN_KEY
0.11682877177109251,0.0,94.29875518672199,0.004149377593360996,37.0,FOREIGN_KEY
1.0,0.0,15.33195020746888,0.004149377593360996,12.0,FOREIGN_KEY
0.8021086780210868,0.0,24.62240663900415,0.004149377593360996,9.0,FOREIGN_KEY
0.9999651066428229,0.0,475.6473029045643,0.004149377593360996,14.0,FOREIGN_KEY
2.0563015360572473E-5,0.0,0.016597510373443983,0.004149377593360996,37.0,FOREIGN_KEY
0.02823068851400436,0.0,11.609958506224066,0.004149377593360996,10.0,FOREIGN_KEY
0.054171862395607125,0.0,142.94605809128632,0.004149377593360996,13.0,FOREIGN_KEY
0.003953239703070058,0.0,3.190871369294606,0.004149377593360996,37.0,FOREIGN_KEY
1.0,0.0,0.02074688796680498,0.004149377593360996,1.0,FOREIGN_KEY
0.3435211471190084,0.0,4467.161825726141,0.004149377593360996,9.0,FOREIGN_KEY
65702.0,0.0,272.62240663900417,0.004149377593360996,13.0,FOREIGN_KEY
0.11995629438851167,0.0,6.377593360995851,0.004149377593360996,10.0,FOREIGN_KEY
0.9966293298517721,0.0,63247.86721991701,0.004149377593360996,12.0,FOREIGN_KEY
1.0,0.0,0.016597510373443983,0.004149377593360996,1.0,FOREIGN_KEY
0.07978852207603519,0.0,32.81327800829875,0.004149377593360996,10.0,FOREIGN_KEY
0.033931310033093874,0.0,13.95435684647303,0.004149377593360996,10.0,FOREIGN_KEY
1.0,0.0,475.66390041493776,0.004149377593360996,14.0,FOREIGN_KEY
2.3451749E7,0.0,97310.16182572614,0.004149377593360996,13.0,FOREIGN_KEY
